,acc,clf,f1,iter_num,precision,recall,uncover_by,uncover_level
0,0.8807947019867549,RandomForestClassifier,0.31220657276995306,20.0,0.293598233995585,0.3333333333333333,betweenness,0.1
1,0.8741721854304636,AdaBoostClassifier,0.3595238095238095,20.0,0.3803854875283446,0.36165413533834584,betweenness,0.1
2,0.6688741721854304,RandomForestClassifier,0.3364215979278741,20.0,0.34318658280922437,0.41991341991341996,closeness,0.1
3,0.11920529801324503,AdaBoostClassifier,0.08652988403211419,20.0,0.2292179045745204,0.2118933697881066,closeness,0.1
4,0.6688741721854304,RandomForestClassifier,0.3364215979278741,20.0,0.34318658280922437,0.41991341991341996,degree,0.1
5,0.11920529801324503,AdaBoostClassifier,0.08652988403211419,20.0,0.2292179045745204,0.2118933697881066,degree,0.1
6,0.7350993377483444,RandomForestClassifier,0.36623088097069134,20.0,0.3623660922217047,0.4795751633986928,pagerank,0.1
7,0.695364238410596,AdaBoostClassifier,0.2958300550747443,20.0,0.3199404761904762,0.29193899782135074,pagerank,0.1
8,0.7238805970149254,RandomForestClassifier,0.317273025237627,20.0,0.3225516621743037,0.34722222222222215,betweenness,0.2
9,0.8955223880597015,AdaBoostClassifier,0.39814814814814814,20.0,0.4671717171717171,0.3861111111111111,betweenness,0.2
10,0.8805970149253731,RandomForestClassifier,0.4592413236481033,20.0,0.425621576064054,0.589237320944638,closeness,0.2
11,0.8805970149253731,AdaBoostClassifier,0.5317510548523207,20.0,0.49707602339181284,0.6514711575687185,closeness,0.2
12,0.9104477611940298,RandomForestClassifier,0.5717729714836755,20.0,0.5789313904068002,0.569672131147541,degree,0.2
13,0.8731343283582089,AdaBoostClassifier,0.5247175141242938,20.0,0.49415204678362573,0.639344262295082,degree,0.2
14,0.917910447761194,RandomForestClassifier,0.3190661478599222,20.0,0.30597014925373134,0.3333333333333333,pagerank,0.2
15,0.6716417910447762,AdaBoostClassifier,0.39544025157232704,20.0,0.6781579843377598,0.5306813782423538,pagerank,0.2
16,0.717948717948718,RandomForestClassifier,0.3002946127946128,20.0,0.31684981684981683,0.31412253374870197,betweenness,0.3
17,0.905982905982906,AdaBoostClassifier,0.4527813344714753,20.0,0.4579964061096136,0.4628764278296989,betweenness,0.3
18,0.8888888888888888,RandomForestClassifier,0.3741524837415249,20.0,0.35974025974025975,0.3983180428134556,closeness,0.3
19,0.9316239316239316,AdaBoostClassifier,0.32153392330383485,20.0,0.31054131054131057,0.3333333333333333,closeness,0.3
20,0.9145299145299145,RandomForestClassifier,0.318452380952381,20.0,0.30484330484330485,0.3333333333333333,degree,0.3
21,0.9145299145299145,AdaBoostClassifier,0.318452380952381,20.0,0.30484330484330485,0.3333333333333333,degree,0.3
22,0.9145299145299145,RandomForestClassifier,0.318452380952381,20.0,0.3074712643678161,0.3302469135802469,pagerank,0.3
23,0.9230769230769231,AdaBoostClassifier,0.32,20.0,0.3076923076923077,0.3333333333333333,pagerank,0.3
24,0.7023809523809523,RandomForestClassifier,0.2789598108747045,20.0,0.3224043715846994,0.24583333333333335,betweenness,0.5
25,0.8095238095238095,AdaBoostClassifier,0.5052020808323329,20.0,0.5172470978441127,0.6083333333333333,betweenness,0.5
26,0.9404761904761905,RandomForestClassifier,0.3231083844580777,20.0,0.3134920634920635,0.3333333333333333,closeness,0.5
27,0.9404761904761905,AdaBoostClassifier,0.3231083844580777,20.0,0.3134920634920635,0.3333333333333333,closeness,0.5
28,0.9404761904761905,RandomForestClassifier,0.3231083844580777,20.0,0.3134920634920635,0.3333333333333333,degree,0.5
29,0.9404761904761905,AdaBoostClassifier,0.3231083844580777,20.0,0.3134920634920635,0.3333333333333333,degree,0.5
30,0.9285714285714286,RandomForestClassifier,0.3209876543209877,20.0,0.30952380952380953,0.3333333333333333,pagerank,0.5
31,0.9166666666666666,AdaBoostClassifier,0.4159132007233273,20.0,0.39999999999999997,0.4358974358974359,pagerank,0.5
