clf,uncover_level,f1,acc,recall,precision
AdaBoostClassifier,0.1,0.4190815481775235,0.8536423841059604,0.43874217429598417,0.4344685699558627
AdaBoostClassifier,0.2,0.41439105489825473,0.7701492537313432,0.45977390509910504,0.43073497845499864
AdaBoostClassifier,0.3,0.4559508207140216,0.8222222222222222,0.4713747012328164,0.4920037334754775
AdaBoostClassifier,0.5,0.40459749911618914,0.7345238095238095,0.4486899348478296,0.4312692112007996
RandomForestClassifier,0.1,0.34794720413794744,0.8609271523178809,0.3591799080343202,0.3663748629136677
RandomForestClassifier,0.2,0.3632129993354746,0.85,0.3796537106852712,0.39944582725274375
RandomForestClassifier,0.3,0.3723887909431703,0.8786324786324788,0.37264789437211426,0.4618470040004009
RandomForestClassifier,0.5,0.3838564696360728,0.8666666666666666,0.3868626201654371,0.41919695483993313
